[2025-04-30 23:30:49] [INFO] 🚀 Начинаем синхронизацию...
[2025-04-30 23:30:49] [INFO] 🔍 Сканируем папку: Zidan
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\commands\configuration.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\commands\debug.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\commands\debug.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\commands\download.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\commands\download.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\commands\freeze.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\commands\freeze.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\commands\hash.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\commands\hash.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\commands\help.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\commands\help.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\commands\index.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\commands\index.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\commands\inspect.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\commands\inspect.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\commands\install.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\commands\install.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\commands\list.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\commands\list.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\commands\search.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\commands\search.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\commands\show.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\commands\show.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\commands\uninstall.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\commands\uninstall.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\commands\wheel.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\commands\wheel.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\commands\__init__.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\commands\__init__.py
